name,birthday,nationality
Carl Ayala,1981-04-20,Namibia
Alexander Fuller,1910-03-30,Japan
Christopher Martinez,2015-11-23,Portugal
Kyle Blackwell,1934-07-28,Fiji
Lori Collins,1911-08-25,Chile
Sherry Jones,1943-11-22,Luxembourg
Jacob Bell,1989-12-31,Germany
Karen Estrada,1920-04-12,Brunei Darussalam
Jamie Ramsey,1961-07-09,Guatemala
Wesley Wilcox MD,1969-01-12,China
Aaron Meyer,1921-03-22,Mozambique
Stephen Cole,2007-02-10,Uruguay
Sharon Ortiz,2004-11-09,Iraq
James Johnson,1962-08-31,Russian Federation
Renee Johnson PhD,2000-12-24,Mozambique
Jonathan Parrish,2008-11-02,Yemen
Nicholas Todd,1971-04-23,Timor-Leste
Jason Davenport,2011-06-21,American Samoa
Jose Arnold,1939-10-07,Australia
Charles Fuller,1984-06-13,Senegal
